PMID,Title,Abstract,Publication Year,Factoid Questions
38324831,"""Arrest me, DeleGata!"" - gender performativities in the construction of beauty as an aesthetic and discursive weapon of power among female Civil Police chiefs.","This article discusses the performative gender constructions of female police chiefs working in Rio de Janeiro state. Using cartography as a research method, we follow the paths, connections, and construction of femininities, activated and performed by our respondents to establish a place of respect and prominence within and outside the Institution, using beauty as an aesthetic and discursive power tool based on the DeleGata performative class. Cartographic interviews were conducted with nine female police chiefs in Rio de Janeiro state aged 30 to 59. Although the police have historically valued recognized masculine ideals, such as strength and virility, the gender performativities operated by female police chiefs allow for police feminization. The figure/enunciation of DeleGata, who builds an image of the female police chief, implying a unity, signifies producing political subjects, ideas, and values that reach a communicative and performative standard, making visible some woman who adorns - with her beauty - and simultaneously surprises - with her intelligence. The DeleGata thus brings into play apparently antagonistic extremes: beauty-intelligence, sensuality-power, femininity-strength, producing a social and symbolic regimen for the production of bodies and femininities.",2024,"What is the research method used in this article to study the performative gender constructions of female police chiefs?
What age group do the female police chiefs participating in the study belong to?
According to the abstract, how do female police chiefs challenge the historically masculine ideals within the police force?
What is the name of the theoretical framework used in the study to analyze the performative aspects of femininity?
How does the concept of ""DeleGata"" embody the construction of the female police chief, according to the abstract?"
38324823,The failure of postmodern biopolitics: some notes on travesti beautification technologies and practices.,"Based on the ethnographic work I conducted with a group of Brazilian travesti sex workers in Rio de Janeiro and Barcelona, this article aims to analyze how they adopt technologies to transform and beautify their bodies that question the biomedical model of our society: their bodies are not read as ""docile"", ""healthy"", or ""productive"" since they do not ""fit into"", nor pretend to fit into the dominant sexual binary. On the other hand, beauty - as a political and transformative field - is one of the main elements that travestis have to find their place in the world through their (trans)national displacements: they are self-constructing as social subjects who claim some intelligibility while they become beautiful travestis. Therefore, travestis believe that beauty is a (transitory) space of liberation that, ultimately, reveals how certain biopolitical technologies have failed to produce undisciplined bodies and beautiful travestis who - through their survival - rebel against a heteronormative power that considers that their bodies are not worthy of mourning and, consequently, ""deserve to die"".",2024,"What group of people does the study focus on, and where was the ethnographic research conducted?
How do the participants in the study use technologies to challenge the ""biomedical model"" of society, as described by the abstract?
What is the main purpose that ""beauty"" serves for the participants in the study, according to the abstract?
How do biopolitical technologies fail to control the bodies of the participants, as the study argues?"
38323112,"The use of nanoparticles in the treatment of infectious diseases and cancer, dental applications and tissue regeneration: a review.","The emergence of nanotechnology as a field of study can be traced back to the 1980s, at which point the means to artificially produce, control, and observe matter on a nanometer level was made viable. Recent advancements in technology have enabled us to extend our reach to the nanoscale, which has presented an unparalleled opportunity to directly target biomolecular interactions. As a result of these developments, there is a drive to arise intelligent nanostructures capable of overcoming the obstacles that have impeded the progress of conventional pharmacological methodologies. After four decades, the gradual amalgamation of bio- and nanotechnologies is initiating a revolution in the realm of disease detection, treatment, and monitoring, as well as unsolved medical predicaments. Although a significant portion of research in the field is still confined to laboratories, the initial application of nanotechnology as treatments, vaccines, pharmaceuticals, and diagnostic equipment has now obtained endorsement for commercialization and clinical practice. The current issue presents an overview of the latest progress in nanomedical strategies towards alleviating antibiotic resistance, diagnosing and treating cancer, addressing neurodegenerative disorders, and an array of applications, encompassing dentistry and tuberculosis treatment. The current investigation also scrutinizes the deployment of sophisticated smart nanostructured materials in fields of application such as regenerative medicine, as well as the management of targeted and sustained release of pharmaceuticals and therapeutic interventions. The aforementioned concept exhibits the potential for revolutionary advancements within the field of immunotherapy, as it introduces the utilization of implanted vaccine technology to consistently regulate and augment immune functions. Concurrently with the endeavor to attain the advantages of nanomedical intervention, it is essential to enhance the unceasing emphasis on nanotoxicological research and the regulation of nanomedications' safety. This initiative is crucial in achieving the advancement in medicine that currently lies within our reach.",2023,"When did the field of nanotechnology emerge, according to the abstract?
What recent advancements have allowed scientists to directly target biomolecular interactions?
What is the driving force behind the development of intelligent nanostructures in the field of medicine?
In what stages of development is the application of nanotechnology in medicine, as described in the abstract?
What are two areas where sophisticated smart nanostructured materials are being used, according to the study?"
38322797,NeuroAIreh@b: an artificial intelligence-based methodology for personalized and adaptive neurorehabilitation.,"Cognitive impairments are a prevalent consequence of acquired brain injury, dementia, and age-related cognitive decline, hampering individuals' daily functioning and independence, with significant societal and economic implications. While neurorehabilitation represents a promising avenue for addressing these deficits, traditional rehabilitation approaches face notable limitations. First, they lack adaptability, offering one-size-fits-all solutions that may not effectively meet each patient's unique needs. Furthermore, the resource-intensive nature of these interventions, often confined to clinical settings, poses barriers to widespread, cost-effective, and sustained implementation, resulting in suboptimal outcomes in terms of intervention adaptability, intensity, and duration. In response to these challenges, this paper introduces NeuroAIreh@b, an innovative cognitive profiling and training methodology that uses an AI-driven framework to optimize neurorehabilitation prescription. NeuroAIreh@b effectively bridges the gap between neuropsychological assessment and computational modeling, thereby affording highly personalized and adaptive neurorehabilitation sessions. This approach also leverages virtual reality-based simulations of daily living activities to enhance ecological validity and efficacy. The feasibility of NeuroAIreh@b has already been demonstrated through a clinical study with stroke patients employing a tablet-based intervention. The NeuroAIreh@b methodology holds the potential for efficacy studies in large randomized controlled trials in the future.",2023,"What are the negative consequences of cognitive impairments on individuals and society?
What are two limitations of traditional approaches to neurorehabilitation mentioned in the abstract?
What is the name of the AI-driven methodology introduced in the paper for cognitive profiling and training?
How does NeuroAIreh@b address the limitations of traditional rehabilitation approaches?
What technology is used in this methodology to enhance the ecological validity of training sessions?"
38322423,A preliminary study of the immunogenic response of plant-derived multi-epitopic peptide vaccine candidate of ,,2023,No Questions - No abstract
38322349,Dual-responsive supramolecular photodynamic nanomedicine with activatable immunomodulation for enhanced antitumor therapy.,A major challenge facing photodynamic therapy (PDT) is that the activity of the immune-induced infiltrating CD8,2024,No Questions - No abstract
38322327,"Targeting cAMP in D1-MSNs in the nucleus accumbens, a new rapid antidepressant strategy.","Studies have suggested that the nucleus accumbens (NAc) is implicated in the pathophysiology of major depression; however, the regulatory strategy that targets the NAc to achieve an exclusive and outstanding anti-depression benefit has not been elucidated. Here, we identified a specific reduction of cyclic adenosine monophosphate (cAMP) in the subset of dopamine D1 receptor medium spiny neurons (D1-MSNs) in the NAc that promoted stress susceptibility, while the stimulation of cAMP production in NAc D1-MSNs efficiently rescued depression-like behaviors. Ketamine treatment enhanced cAMP both in D1-MSNs and dopamine D2 receptor medium spiny neurons (D2-MSNs) of depressed mice, however, the rapid antidepressant effect of ketamine solely depended on elevating cAMP in NAc D1-MSNs. We discovered that a higher dose of crocin markedly increased cAMP in the NAc and consistently relieved depression 24 h after oral administration, but not a lower dose. The fast onset property of crocin was verified through multicenter studies. Moreover, crocin specifically targeted at D1-MSN cAMP signaling in the NAc to relieve depression and had no effect on D2-MSN. These findings characterize a new strategy to achieve an exclusive and outstanding anti-depression benefit by elevating cAMP in D1-MSNs in the NAc, and provide a potential rapid antidepressant drug candidate, crocin.",2024,"What part of the brain is implicated in the pathophysiology of major depression, according to the study?
What specific cell type within the NAc was found to play a role in promoting stress susceptibility?
How does ketamine treatment exert its antidepressant effect, as described in the research?
What natural compound was identified as a potential rapid antidepressant drug candidate?
What is the mechanism by which crocin is believed to relieve depression, according to the study?"
38322309,Academic publisher guidelines on AI usage: A ChatGPT supported thematic analysis.,"As Artificial Intelligence (AI) technologies such as Generative AI (GenAI) have become more common in academic settings, it is necessary to examine how these tools interact with issues of authorship, academic integrity, and research methodologies. The current landscape lacks cohesive policies and guidelines for regulating AI's role in academic research which has prompted discussions among publishers, authors, and institutions.",2023,"What is the main concern regarding the use of Generative AI (GenAI) in academic research, as mentioned in the abstract?
What is the current state of policies and guidelines for regulating AI's role in academic research?
Who are the stakeholders involved in the discussions surrounding AI in academic research?"
38322152,Multimodal Gated Mixture of Experts Using Whole Slide Image and Flow Cytometry for Multiple Instance Learning Classification of Lymphoma.,"In this study, we present a deep-learning-based multimodal classification method for lymphoma diagnosis in digital pathology, which utilizes a whole slide image (WSI) as the primary image data and flow cytometry (FCM) data as auxiliary information. In pathological diagnosis of malignant lymphoma, FCM serves as valuable auxiliary information during the diagnosis process, offering useful insights into predicting the major class (superclass) of subtypes. By incorporating both images and FCM data into the classification process, we can develop a method that mimics the diagnostic process of pathologists, enhancing the explainability. In order to incorporate the hierarchical structure between superclasses and their subclasses, the proposed method utilizes a network structure that effectively combines the mixture of experts (MoE) and multiple instance learning (MIL) techniques, where MIL is widely recognized for its effectiveness in handling WSIs in digital pathology. The MoE network in the proposed method consists of a gating network for superclass classification and multiple expert networks for (sub)class classification, specialized for each superclass. To evaluate the effectiveness of our method, we conducted experiments involving a six-class classification task using 600 lymphoma cases. The proposed method achieved a classification accuracy of 72.3%, surpassing the 69.5% obtained through the straightforward combination of FCM and images, as well as the 70.2% achieved by the method using only images. Moreover, the combination of multiple weights in the MoE and MIL allows for the visualization of specific cellular and tumor regions, resulting in a highly explanatory model that cannot be attained with conventional methods. It is anticipated that by targeting a larger number of classes and increasing the number of expert networks, the proposed method could be effectively applied to the real problem of lymphoma diagnosis.",2024,"What type of deep learning approach is used in the study for lymphoma diagnosis?
What two types of data are used in the proposed classification method?
How does the proposed method mimic the diagnostic process of pathologists?
What specific techniques are combined in the network structure of the proposed method?
What was the accuracy achieved by the proposed method in the six-class classification task?"
38321989,Understanding the impact of digital technology on the well-being of older immigrants and refugees: A scoping review.,"The fast-paced development of digital technologies in the areas of social media, pet robots, smart homes, and artificial intelligence, among others, profoundly influence the daily lives of older adults. Digital technology can improve the well-being and quality of life of older adults, older immigrants and refugees who suffer migration-associated stress, loneliness, health and psychosocial challenges.",2023,"What areas of digital technology are experiencing rapid development, according to the abstract?
How can digital technology benefit older adults, including immigrants and refugees?
What specific challenges do older immigrants and refugees face, as mentioned in the abstract?"
38320147,Large Language Models.,"Large Language ModelsIn the latest edition of Stats, STAT!, Fralick and colleagues explain the statistics behind large language models - used in chat bots like ChatGPT and Bard. While these new tools may seem remarkably intelligent, at their core they just assemble sentences based on statistics from large amounts of text.",2023,"What type of language models are the focus of the article in STATS?
How do large language models generate text, according to the abstract?
What is a potential limitation of large language models, as implied in the abstract?"
38320143,Artificial Intelligence Predictive Model for Hormone Therapy Use in Prostate Cancer.,"Predictive Model for Hormone Therapy in Prostate CancerDigital pathology images and clinical data from pretreatment prostate tissue were used to generate a predictive model to determine patients who would benefit from androgen deprivation therapy (ADT). In model-positive patients, ADT significantly reduced the risk of distant metastasis compared with radiotherapy alone.",2023,"What type of data was used to develop a predictive model for hormone therapy in prostate cancer?
What is the full name of the hormone therapy considered in the study?
What was the observed benefit of hormone therapy for patients identified as ""model-positive""?"
38317871,Accuracy of Integrated Artificial Intelligence Grading Using Handheld Retinal Imaging in a Community Diabetic Eye Screening Program.,To evaluate mydriatic handheld retinal imaging performance assessed by point-of-care (POC) artificial intelligence (AI) as compared with retinal image graders at a centralized reading center (RC) in identifying diabetic retinopathy (DR) and diabetic macular edema (DME).,2024,"What technology is being compared to human graders in identifying diabetic retinopathy and diabetic macular edema?
Where are the retinal images being evaluated by human graders in this study?
What is the abbreviation for ""point-of-care"" used in the context of this study?"
38317869,Prediction Models for Glaucoma in a Multicenter Electronic Health Records Consortium: The Sight Outcomes Research Collaborative.,"Advances in artificial intelligence have enabled the development of predictive models for glaucoma. However, most work is single-center and uncertainty exists regarding the generalizability of such models. The purpose of this study was to build and evaluate machine learning (ML) approaches to predict glaucoma progression requiring surgery using data from a large multicenter consortium of electronic health records (EHR).",2024,"What type of models are being developed using machine learning in this study?
What is the limitation of most existing models for predicting glaucoma progression, as mentioned in the abstract?
What data source is used to train the machine learning models in this study?"
38317867,A Systematic Prospective Comparison of Fluid Volume Evaluation across OCT Devices Used in Clinical Practice.,Treatment decisions in neovascular age-related macular degeneration (nAMD) are mainly based on subjective evaluation of OCT. The purpose of this cross-sectional study was to provide a comparison of qualitative and quantitative differences between OCT devices in a systematic manner.,2024,"What is the primary method used for evaluating treatment decisions in neovascular age-related macular degeneration (nAMD)?
What type of study design is used in this research (cross-sectional, case-control, etc.)?
What is the purpose of the study, as described in the abstract?"
38317836,Multi-scenario pear tree inflorescence detection based on improved YOLOv7 object detection algorithm.,"Efficient and precise thinning during the orchard blossom period is a crucial factor in enhancing both fruit yield and quality. The accurate recognition of inflorescence is the cornerstone of intelligent blossom equipment. To advance the process of intelligent blossom thinning, this paper addresses the issue of suboptimal performance of current inflorescence recognition algorithms in detecting dense inflorescence at a long distance. It introduces an inflorescence recognition algorithm, YOLOv7-E, based on the YOLOv7 neural network model. YOLOv7 incorporates an efficient multi-scale attention mechanism (EMA) to enable cross-channel feature interaction through parallel processing strategies, thereby maximizing the retention of pixel-level features and positional information on the feature maps. Additionally, the SPPCSPC module is optimized to preserve target area features as much as possible under different receptive fields, and the Soft-NMS algorithm is employed to reduce the likelihood of missing detections in overlapping regions. The model is trained on a diverse dataset collected from real-world field settings. Upon validation, the improved YOLOv7-E object detection algorithm achieves an average precision and recall of 91.4% and 89.8%, respectively, in inflorescence detection under various time periods, distances, and weather conditions. The detection time for a single image is 80.9 ms, and the model size is 37.6 Mb. In comparison to the original YOLOv7 algorithm, it boasts a 4.9% increase in detection accuracy and a 5.3% improvement in recall rate, with a mere 1.8% increase in model parameters. The YOLOv7-E object detection algorithm presented in this study enables precise inflorescence detection and localization across an entire tree at varying distances, offering robust technical support for differentiated and precise blossom thinning operations by thinning machinery in the future.",2023,"What agricultural task is the research focused on improving?
Why is accurate inflorescence recognition important for intelligent blossom equipment?
What is the name of the neural network model used in the proposed object detection algorithm?
What specific features of the YOLOv7-E model contribute to its improved performance?
How does the YOLOv7-E algorithm compare to the original YOLOv7 model in terms of accuracy, recall, and model size?"
38314369,Polydioxanone Bioactive Sutures-Acetyl Hexapeptide-8 (Argireline): An Intelligent System for Controlled Release in Facial Harmonization.,"We propose a new facial lifting protocol using polydioxanone (PDO) threads embedded in acetyl hexapeptide-8 (Argireline [Arg]). We assume that Arg reinforces the effects of PDO threads, as it is a mimetic of botulinum toxin. Because the PDO suture is hydrolyzable, this assumption is analyzed by instrumental analysis.",2023,"What is the new facial lifting protocol proposed in the study?
What is the mechanism by which Argireline (Arg) is expected to enhance the effects of PDO threads?
How do the authors plan to analyze the assumption about Arg's reinforcing effect?"
38314174,"Managing Ulcerative Colitis and Crohn's Disease: Should the Target Be Endoscopy, Histology, or Both?","In inflammatory bowel disease (IBD), mucosal healing is the primary long-term treatment goal, encompassing both endoscopic and histological outcomes. This paper aims to overview the ability of new treatment options to promote endoscopic and histological healing and to discuss the prognostic significance of endoscopic and histological outcomes. The analysis included randomized-controlled trials (published since 2020) focused on the impact of pharmacological interventions on endoscopic and histological remission in IBD. Even though the Mayo endoscopic subscore is routinely used, the application of validated scoring systems for ulcerative colitis is uncommon. In Crohn's disease (CD), the application of endoscopic scores remains limited to clinical studies. The standardized evaluation of histological features has been performed in several recent ulcerative colitis trials, resorting mostly to the Geboes score and the Nancy histological index. Still, the use of histological scores for CD remains elusive. Current evidence underscores that histological remission conveys the best long-term prognosis, supporting the inclusion of histology as a treatment guide in ulcerative colitis. In CD, data are promising but originated from a few retrospective studies. Further efforts are warranted to: (1) use validated histological indexes for ulcerative colitis, aiming their adoption as treatment targets; (2) promote the validation and utilization of histological scores for CD, at least in clinical studies; (3) confirm the prognostic impact of histological remission in CD; (4) integrate artificial intelligence assets to support grading, particularly in the setting of histology; (5) prospectively define the monitoring frequency of IBD patients who achieved histological remission.",2024,"What is the primary long-term treatment goal in inflammatory bowel disease (IBD), according to the abstract?
What are the two types of outcomes used to assess mucosal healing in IBD?
What is the most commonly used endoscopic scoring system for ulcerative colitis mentioned in the abstract?
What histological scoring system is most commonly used in recent ulcerative colitis trials?
What is the current evidence regarding the prognostic significance of histological remission in ulcerative colitis and Crohn's disease?"
38314120,"Exploring the matrix: knowledge, perceptions and prospects of artificial intelligence and machine learning in Nigerian healthcare.",Artificial intelligence technology can be applied in several aspects of healthcare delivery and its integration into the Nigerian healthcare value chain is expected to bring about new opportunities. This study aimed at assessing the knowledge and perception of healthcare professionals in Nigeria regarding the application of artificial intelligence and machine learning in the health sector.,2023,"In what ways can artificial intelligence technology be applied in healthcare delivery, as mentioned in the abstract?
What was the aim of the study investigating the knowledge and perception of healthcare professionals in Nigeria regarding AI in healthcare?"
38314067,Being kind in unkind spaces: a qualitative examination of how medical educators and first year medical students perceive empathy training.,It has become ,2023,No Questions - No abstract
38314056,"Vulnerabilities and reparative strategies during pregnancy, childbirth, and the postpartum period: moving from rhetoric to action.","Maternal outcomes throughout pregnancy, childbirth, and the postnatal period are influenced by interlinked and interdependent vulnerabilities. A comprehensive understanding of how various threats and barriers affect maternal and perinatal health is critical to plan, evaluate and improve maternal health programmes. This paper builds on the introductory paper of the Series on the determinants of maternal health by assessing vulnerabilities during pregnancy, childbirth, and the postnatal period. We synthesise and present the concept of vulnerability in pregnancy and childbirth, and map vulnerability attributes and their dynamic influence on maternal outcomes in early and late pregnancy and during childbirth and the postnatal period, with a particular focus on low-income and middle-income countries (LMICs). We summarise existing literature and present the evidence on the effects of various reparative strategies to improve pregnancy and childbirth outcomes. Lastly, we discuss the implications of the identified vulnerability attributes and reparative strategies for the efforts of policymakers, healthcare professionals, and researchers working towards improving outcomes for women and birthing people in LMICs.",2024,"What factors are analyzed in this paper to understand maternal health outcomes?
What is the specific focus of the paper regarding vulnerability attributes and their impact on maternal health outcomes?
What are some reparative strategies discussed in the paper to improve pregnancy and childbirth outcomes?
Who are the stakeholders involved in improving maternal health outcomes in low-income and middle-income countries (LMICs), according to the abstract?"
38312957,Early Detection of Oral Potentially Malignant Disorders: A Review on Prospective Screening Methods with Regard to Global Challenges.,"Oral cancer is a cancer type that is widely prevalent in low-and middle-income countries with a high mortality rate, and poor quality of life for patients after treatment. Early treatment of cancer increases patient survival, improves quality of life and results in less morbidity and a better prognosis. To reach this goal, early detection of malignancies using technologies that can be used in remote and low resource areas is desirable. Such technologies should be affordable, accurate, and easy to use and interpret. This review surveys different technologies that have the potentials of implementation in primary health and general dental practice, considering global perspectives and with a focus on the population in India, where oral cancer is highly prevalent. The technologies reviewed include both sample-based methods, such as saliva and blood analysis and brush biopsy, and more direct screening of the oral cavity including fluorescence, Raman techniques, and optical coherence tomography. Digitalisation, followed by automated artificial intelligence based analysis, are key elements in facilitating wide access to these technologies, to non-specialist personnel and in rural areas, increasing quality and objectivity of the analysis while simultaneously reducing the labour and need for highly trained specialists.",2024,"What is the cancer type with high prevalence and mortality rate in low- and middle-income countries, as stated in the abstract?
What is the benefit of early cancer detection, according to the study?
What are the desired characteristics of technologies for early detection of malignancies in remote and low-resource areas?
What are some of the technologies reviewed in the study for potential implementation in oral cancer screening?
How can digitalization and artificial intelligence contribute to wider access and improved quality of oral cancer screening?"
38312950,Improved stacking ensemble learning based on feature selection to accurately predict warfarin dose.,"With the rapid development of artificial intelligence, prediction of warfarin dose via machine learning has received more and more attention. Since the dose prediction involve both linear and nonlinear problems, traditional machine learning algorithms are ineffective to solve such problems at one time.",2023,"What is the machine learning approach used in the study for predicting warfarin dose?
Why are traditional machine learning algorithms considered ineffective for warfarin dose prediction, as mentioned in the abstract?"
38312797,Optimization of Rituximab Therapy in Adult Patients With PLA2R1-Associated Membranous Nephropathy With Artificial Intelligence.,Rituximab is a first-line treatment for membranous nephropathy. Nephrotic syndrome limits rituximab exposure due to urinary drug loss. Rituximab underdosing (serum level <2 μg/ml at month-3) is a risk factor for treatment failure. We developed a machine learning algorithm to predict the risk of underdosing based on patients' characteristics at rituximab infusion. We investigated the relationship between the predicted risk of underdosing and the cumulative dose of rituximab required to achieve remission.,2024,"What is the first-line treatment for membranous nephropathy mentioned in the study?
What is the medical term used to describe a condition that limits exposure to a drug due to urinary loss?
What does underdosing of rituximab, as defined in the study, indicate?
What type of machine learning algorithm was developed to predict the risk of underdosing in the study?
What is the relationship between the predicted risk of underdosing and the cumulative dose of rituximab required for remission, as investigated in the study?"
